매출일자,품명,수량
20030301,아침식사,37.47292419
20030301,점심식사,31.19133574
20030301,저녁식사,19.566787
20030302,아침식사,36.10108303
20030302,점심식사,33.35740072
20030302,저녁식사,21.94945848
20030303,아침식사,47.94223827
20030303,점심식사,58.48375451
20030303,저녁식사,22.16606498
20030304,아침식사,86.78700361
20030304,점심식사,59.35018051
20030304,저녁식사,28.0866426
20030305,아침식사,48.37545126
20030305,점심식사,52.63537906
20030305,저녁식사,26.20938628
20030306,아침식사,43.68231047
20030306,점심식사,40.07220217
20030306,저녁식사,20.2166065
20030307,아침식사,47.79783394
20030307,점심식사,49.81949458
20030307,저녁식사,18.62815884
20030308,아침식사,43.24909747
20030308,점심식사,42.74368231
20030308,저녁식사,17.40072202
20030309,아침식사,38.05054152
20030309,점심식사,36.75090253
20030309,저녁식사,20.14440433
20030310,아침식사,49.09747292
20030310,점심식사,53.93501805
20030310,저녁식사,26.06498195
20030311,아침식사,49.24187726
20030311,점심식사,56.53429603
20030311,저녁식사,26.42599278
20030312,아침식사,48.01444043
20030312,점심식사,56.02888087
20030312,저녁식사,22.31046931
20030313,아침식사,56.1732852
20030313,점심식사,56.67870036
20030313,저녁식사,22.31046931
20030314,아침식사,50.83032491
20030314,점심식사,56.31768953
20030314,저녁식사,19.566787
20030315,아침식사,44.76534296
20030315,점심식사,40.28880866
20030315,저녁식사,18.05054152
20030316,아침식사,39.63898917
20030316,점심식사,33.71841155
20030316,저녁식사,22.81588448
20030317,아침식사,47.79783394
20030317,점심식사,57.68953069
20030317,저녁식사,29.45848375
20030318,아침식사,49.53068592
20030318,점심식사,61.73285199
20030318,저녁식사,18.91696751
20030319,아침식사,51.62454874
20030319,점심식사,63.10469314
20030319,저녁식사,29.53068592
20030320,아침식사,54.15162455
20030320,점심식사,59.566787
20030320,저녁식사,22.81588448
20030321,아침식사,47.72563177
20030321,점심식사,51.62454874
20030321,저녁식사,18.55595668
20030322,아침식사,38.05054152
20030322,점심식사,40.36101083
20030322,저녁식사,17.18411552
20030323,아침식사,36.24548736
20030323,점심식사,34.36823105
20030323,저녁식사,20.28880866
20030324,아침식사,46.42599278
20030324,점심식사,59.49458484
20030324,저녁식사,25.27075812
20030325,아침식사,55.16245487
20030325,점심식사,56.82310469
20030325,저녁식사,23.75451264
20030326,아침식사,49.24187726
20030326,점심식사,54.00722022
