,일자,식사명,식사내용
1,20030301,아침식사,"과일샐러드,닭죽,돈육마늘장조림,떡만두국,부추김무침,쌀밥"
2,20030301,아침식사2,"딸기잼(중),비엔나구이,스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵"
3,20030301,점심식사,"골뱅이야채무침,새우맛살튀김,쌀밥(사무직),열무겉절이,칼국수"
4,20030301,저녁식사,"감자으깸샐러드,비프까스,스위트피클,쌀밥,옥수수스프"
5,20030302,아침식사,"계란죽,곤약멸치조림,김치국,마카로니샐러드,쌀밥,오징어회무침"
6,20030302,아침식사2,"딸기잼(중),삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
7,20030302,점심식사,"갈비탕,깍두기(손칼),두부달걀전,생선묵조림,쌀밥,오이,풋고추,쌈장"
8,20030302,저녁식사,"계란탕,단무지잔파무침,자장소스,잡채밥,탕수만두"
9,20030303,아침식사,"감자다시마국,녹두죽,멸치볶음,쇠고기팽이버섯볶음,쌀밥,우유,호박나물"
10,20030303,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,후르츠펀치"
11,20030303,점심식사,"계란찜,냉이배추된장국,삼치엿장조림,시금치나물,쌀밥,콩나물무침"
12,20030303,저녁식사,"꽈리고추찜,돈등심케찹조림,쌀밥,어묵양파볶음(K),열무된장무침,콩나물무국"
13,20030304,아침식사,"감자채볶음,고구마죽,동태무조림(가공),두부유부된장국,부추김무침,쌀밥,우유1"
14,20030304,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵"
15,20030304,점심식사,"계란탕,깍두기(손칼),달래무생채,새우볶음밥,오징어회무침,요구르트,자장소스"
16,20030304,저녁식사,"기장밥,꽁치양념구이,떡국,메추리알햄조림,미나리나물,미역줄기볶음"
17,20030305,아침식사,"닭죽(잔파),돈육두루치기,맛살조림,시금치나물,쌀밥,어묵무국,우유"
18,20030305,아침식사2,"딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵,햄구이"
19,20030305,점심식사,"마늘쫑지무침,새알미역국,새우동그랑땡,쭈꾸미볶음,흑미밥"
20,20030305,저녁식사,"감자오이샐러드,깍두기(손칼),닭파인애플조림(부분),도토리묵말이,상추겉절이,쌀밥,진미고추장무침"
21,20030306,아침식사,"만두국,소방어무조림,소세지야채볶음,쌀밥,열무된장무침,우유1,콩죽"
22,20030306,아침식사2,"딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
23,20030306,점심식사,"도라지오이무침,쇠고기야채볶음,시금치된장국,쌀밥,양상치샐러드(K),카레라이스"
24,20030306,저녁식사,"감자채볶음,곰탕,깍두기(손칼),두부양념장구이(K),방울토마토,쌀밥,오이,풋고추,쌈장"
25,20030307,아침식사,"갈치구이,건미역오이초무침,쇠고기장조림,순두부국,쌀밥,야채죽,우유1"
26,20030307,아침식사2,"과일샐러드,딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵,햄구이"
27,20030307,점심식사,"깍두기(손칼),쌀밥,육개장,잡채,풋고추된장무침,해물파전"
28,20030307,저녁식사,"갈치구이,돈육두루치기,무우지무침,북어계란국,완두콩밥,월동초나물"
29,20030308,아침식사,"곤약조림,깻잎양파겉절이,대구지리,쌀밥,오징어볼탕수,우유1,흑임자죽"
30,20030308,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵"
31,20030308,점심식사,"닭다리버터구이,돌나물겉절이,사과,쌀밥(사무직),잔치국수"
32,20030308,저녁식사,"미역국,버섯볶음,쇠고기장조림,쌀밥,오이양파무침,잔파생채(70)"
33,20030309,아침식사,"단배추된장무침,두부조림,북어해장국,쌀밥,알땅콩죽,양송이피망볶음,우유1"
34,20030309,아침식사2,"딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
35,20030309,점심식사,"계란말이,근대국,단무지잔파무침,마카로니샐러드,쌀밥,조기찜"
36,20030309,저녁식사,"감자튀김(경양식),깍두기(손칼),더운야채,돈까스,스위트피클,쌀밥,크림스프(경양식)"
37,20030310,아침식사,"계란찜,돈육야채볶음,무생채,쌀밥,오징어무국,우유1,콩죽"
38,20030310,아침식사2,"감자튀김,딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵"
39,20030310,점심식사,"배추된장국,보리밥,비빔만두,삼치엿장조림(D),열무겉절이,우엉조림"
40,20030310,저녁식사,"건취나물볶음,대구매운탕(가공),메추리알햄조림,쌀밥,오징어회무침,잔파김무침"
41,20030311,아침식사,"가자미튀김,감자조림,쇠고기맑은국,쌀밥,우유,참나물겉절이,흑임자죽"
42,20030311,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵"
43,20030311,점심식사,"단배추겉절이,닭야채찜,도토리묵양념장,쌀밥,어묵무국,어채고추장조림"
44,20030311,저녁식사,"김치국,깍두기(손칼),돈육장조림,쌀밥,오징어부추전,콩나물무침,호박나물"
45,20030312,아침식사,"곤약맛살조림,녹두죽,미나리나물,쇠고기야채볶음,쌀밥,우유,월동초된장국"
46,20030312,아침식사2,"딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
47,20030312,점심식사,"감자간장조림,꽁치양념구이,두부양념장구이,떡국,쌀밥,오이생채"
48,20030312,저녁식사,"고추지된장무침,깍두기(손칼),닭개장,생선묵조림,쌀밥,요구르트,잡채"
49,20030313,아침식사,"닭죽(잔파),미니돈까스,케찹소스,쌀밥,우유,조기찜,치커리무생채,콩나물국"
50,20030313,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,햄후르츠"
51,20030313,점심식사,"계란찜,소면사리,쇠고기미역국,쌀밥,잔파김무침,쭈꾸미볶음"
52,20030313,저녁식사,"냉이배추된장국,돌나물겉절이,숙주나물,쌀밥,자장소스,탕수육"
53,20030314,아침식사,"김치볶음,볶은땅콩조림,사골우거지탕,쌀밥,우유,통두부,양념장"
54,20030314,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵"
55,20030314,점심식사,"건새우아욱국,멸치볶음,쇠고기피망볶음,쌀밥,콩나물무침"
56,20030314,저녁식사,"갈치조림,감자채볶음,계란장조림,단배추겉절이,도토리묵말이,쌀밥"
57,20030315,아침식사,"감자다시마국,고등어양념튀김,도라지생채,소세지야채볶음,쌀밥,알땅콩죽,우유"
58,20030315,아침식사2,"딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
59,20030315,점심식사,"귤,산채비빔밥,팽이버섯국"
60,20030315,저녁식사,"돈육두루치기,부추겉절이,상추쌈,쌀밥,콩나물국,흑콩조림"
61,20030316,아침식사,"깍두기(손칼),순두부국,쌀밥,야채죽,열무된장무침,오징어야채볶음,우유,햄구이"
62,20030316,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,햄구이"
63,20030316,점심식사,"맛살꽈리조림,물만두국,쇠고기장조림,참나물겉절이,호박나물,흑콩밥"
64,20030316,저녁식사,"곰탕,깍두기(손칼),쌀밥,연근조림,오이,풋고추,쌈장"
65,20030317,아침식사,"꽁치양념구이,쇠고기맑은국,쌀밥,연근조림,우유1,콩죽,호박나물"
66,20030317,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,햄구이"
67,20030317,점심식사,"김치국,깍두기(손칼),돌나물겉절이,쇠고기브로컬리볶음,쌀밥,알감자조림(D),진미고추장무침"
68,20030317,저녁식사,"꽈리고추찜,대구지리,미니돈까스,케찹소스,쌀밥,오이지무침,쭈꾸미볶음"
69,20030318,아침식사,"느타리버섯볶음,북어계란국,쌀밥,오징어볼탕수,우유,흑임자죽"
70,20030318,아침식사2,"감자튀김(경양식),딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵"
71,20030318,점심식사,"고구마맛탕,돈육두루치기,맛살조림,미역국,부추김무침,쌀밥"
72,20030318,저녁식사,"김치전,깍두기(손칼),깻잎양파겉절이,사과,삼치우엉조림,쌀밥,육개장"
73,20030319,아침식사,"감자수제비국,고구마죽2,생선까스,쌀밥,어묵곤약조림,열무된장무침,우유"
74,20030319,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵"
75,20030319,점심식사,"닭조림(부분),물만두국,쌀밥,양상치샐러드,오이양파무침"
76,20030319,저녁식사,"돈육장조림,동그랑땡구이,케찹,쌀밥,오징어무국,참나물겉절이,호박새우젓볶음"
77,20030320,아침식사,"갈치구이,깍두기(손칼),단배추겉절이,메추리알조림,쌀밥,우유,장터국밥,콩죽"
78,20030320,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,햄후르츠"
79,20030320,점심식사,"계란찜,단무지채무침,미역줄기볶음,짬뽕밥,후루츠탕수육"
80,20030320,저녁식사,"미나리나물,비빔된장,쇠고기야채볶음,쌀밥,열무겉절이,콩나물국"
81,20030321,아침식사,"계란탕,돈육마늘장조림,부추겉절이,북어죽,쌀밥,어채볶음,우유"
82,20030321,아침식사2,"딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프(경양식),토스트&모닝빵,햄구이"
83,20030321,점심식사,"냉이배추된장국,두부양념장구이,소방어무조림,쌀밥,콩나물무침,흑콩조림"
84,20030321,저녁식사,"곰탕,깍두기(손칼),깐마늘고추장무침,쌀밥,오이,풋고추,쌈장,요구르트,쥬키니호박전"
85,20030322,아침식사,"계란죽,닭야채찜,두부유부된장국,숙주나물,쌀밥,우엉콩조림(흑콩),우유"
86,20030322,아침식사2,"딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
87,20030322,점심식사,"메추리알햄조림,쌀밥,쌀밥(사무직),잔치국수,잔파김무침"
88,20030322,저녁식사,"계란말이,고추지무침,꽁치양념구이,쌀밥,월동초나물,팽이북어국"
89,20030323,아침식사,"근대나물,돈육불고기,맛살조림,쌀밥,알땅콩죽,어묵무국,우유"
